bout_id,event_name,date,location,attendance ,result,fighter1,fighter2,winner,weight_class,title_fight,method,end_round,end_time
1,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",10245,win,Santiago Ponzinibbio,Neil Magny,Santiago Ponzinibbio,Welterweight,f,KO/TKO-Punch,4,2:36
2,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",10245,win,Ricardo Lamas,Darren Elkins,Ricardo Lamas,Featherweight,f,KO/TKO-Elbows,3,4:09
3,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",10245,win,Johnny Walker,Khalil Rountree Jr.,Johnny Walker,Light Heavyweight,f,KO/TKO-Elbow,1,1:57
4,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",10245,win,Ian Heinisch,Cezar Ferreira,Ian Heinisch,Middleweight,f,DEC-Unanimous,3,5:00
5,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",10245,win,Marlon Vera,Guido Cannetti,Marlon Vera,Bantamweight,f,SUB-Rear Naked Choke,2,1:31
6,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",10245,win,Cynthia Calvillo,Poliana Botelho,Cynthia Calvillo,Women's Strawweight,f,SUB-Rear Naked Choke,1,4:48
7,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",10245,win,Michel Prazeres,Bartosz Fabinski,Michel Prazeres,Welterweight,f,SUB-Guillotine Choke,1,1:02
8,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",10245,win,Alexandre Pantoja,Ulka Sasaki,Alexandre Pantoja,Flyweight,f,SUB-Rear Naked Choke,1,2:18
9,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",10245,win,Austin Arnett,Humberto Bandenay,Austin Arnett,Featherweight,f,DEC-Unanimous,3,5:00
10,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",10245,win,Laureano Staropoli,Hector Aldana,Laureano Staropoli,Welterweight,f,DEC-Unanimous,3,5:00
11,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",10245,win,Jesus Pinedo,Devin Powell,Jesus Pinedo,Lightweight,f,DEC-Unanimous,3,5:00
12,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",10245,win,Nad Narimani,Anderson Dos Santos,Nad Narimani,Featherweight,f,DEC-Unanimous,3,5:00
13,UFC Fight Night: Bader vs. Nogueira,2016-11-19,"Sao Paulo, Sao Paulo, Brazil",9028,win,Ryan Bader,Rogerio Nogueira,Ryan Bader,Light Heavyweight,f,KO/TKO-Punches,3,3:51
14,UFC Fight Night: Bader vs. Nogueira,2016-11-19,"Sao Paulo, Sao Paulo, Brazil",9028,win,Thomas Almeida,Albert Morales,Thomas Almeida,Bantamweight,f,KO/TKO-Punches,2,1:37
15,UFC Fight Night: Bader vs. Nogueira,2016-11-19,"Sao Paulo, Sao Paulo, Brazil",9028,win,Claudia Gadelha,Cortney Casey,Claudia Gadelha,Women's Strawweight,f,DEC-Unanimous,3,5:00
16,UFC Fight Night: Bader vs. Nogueira,2016-11-19,"Sao Paulo, Sao Paulo, Brazil",9028,win,Krzysztof Jotko,Thales Leites,Krzysztof Jotko,Middleweight,f,DEC-Unanimous,3,5:00
17,UFC Fight Night: Bader vs. Nogueira,2016-11-19,"Sao Paulo, Sao Paulo, Brazil",9028,win,Kamaru Usman,Warlley Alves,Kamaru Usman,Welterweight,f,DEC-Unanimous,3,5:00
18,UFC Fight Night: Bader vs. Nogueira,2016-11-19,"Sao Paulo, Sao Paulo, Brazil",9028,win,Sergio Moraes,Zak Ottow,Sergio Moraes,Welterweight,f,DEC-Split,3,5:00
