fighter_id,name,win,lose,draw,nc,height,weight,reach,stance,dob,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,last_updated
1,Luciano Azevedo,16,9,1,0,"6' 3""",161 lbs.,N/A,Orthodox,"Jun 25, 1981",0.76,45%,1.97,27%,2.28,11%,0%,0.0,2018-11-21 19:35:04.893952
2,Michael Byrnes,5,2,0,0,"5' 11""",155 lbs.,N/A,,"Jul 17, 1990",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:35:09.304165
3,Gleidson Cutis,7,3,0,0,"5' 9""",155 lbs.,N/A,Orthodox,"Feb 07, 1989",2.99,52%,8.28,59%,0.00,0%,0%,0.0,2018-11-21 19:35:11.211072
4,Rolando Dy,9,7,1,1,"5' 8""",145 lbs.,"69""",Orthodox,"Aug 11, 1990",3.04,37%,4.47,52%,0.30,20%,68%,0.0,2018-11-21 19:35:14.677808
5,Jessica Eye,13,6,0,1,"5' 6""",125 lbs.,"66""",Orthodox,"Jul 27, 1986",3.42,36%,3.32,59%,0.59,71%,60%,0.8,2018-11-21 19:35:17.495278
6,Katsuaki Furuki,1,1,0,0,"6' 0""",168 lbs.,N/A,,"Nov 10, 1980",0.27,10%,2.67,39%,0.00,0%,0%,3.0,2018-11-21 19:35:21.053769
7,Mike Guymon,12,5,1,0,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 17, 1974",2.75,65%,0.79,66%,1.87,37%,54%,1.2,2018-11-21 19:35:24.753882
8,Solomon Hutcherson,11,7,0,1,"5' 11""",185 lbs.,N/A,Southpaw,"Aug 31, 1972",2.59,39%,2.59,64%,3.53,100%,0%,0.0,2018-11-21 19:35:29.021504
9,Hiroshi Izumi,4,2,0,0,N/A,205 lbs.,N/A,Orthodox,"Jun 22, 1982",1.95,37%,2.65,66%,3.35,70%,100%,0.5,2018-11-21 19:35:32.817378
10,Cris Cyborg,20,1,0,1,"5' 8""",145 lbs.,"68""",Orthodox,"Jul 09, 1985",7.02,52%,1.79,70%,0.85,62%,91%,0.3,2018-11-21 19:35:36.351918
11,Mike Kyle,19,9,1,2,"6' 4""",205 lbs.,"77""",Orthodox,"Mar 31, 1980",4.50,51%,2.76,54%,1.55,62%,50%,0.9,2018-11-21 19:35:40.545685
12,Chris Lytle,31,18,5,0,"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974",3.76,45%,3.03,58%,0.70,55%,55%,2.4,2018-11-21 19:35:45.808647
13,Ho Bae Myeon,12,5,1,0,"5' 11""",168 lbs.,N/A,Orthodox,N/A,3.16,16%,3.16,83%,0.00,0%,0%,0.0,2018-11-21 19:35:48.967203
14,Kennedy Nzechukwu,5,0,0,0,"6' 5""",205 lbs.,"82""",Southpaw,"Jun 13, 1992",7.20,36%,5.06,50%,0.00,0%,71%,0.0,2018-11-21 19:35:53.476155
15,Alptekin Ozkilic,9,4,0,0,"5' 5""",125 lbs.,"65""",Orthodox,"Mar 27, 1986",3.81,32%,5.72,59%,4.21,58%,75%,0.0,2018-11-21 19:35:57.905297
16,Mike Pyle,27,14,1,0,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 18, 1975",2.74,45%,2.84,60%,1.80,35%,70%,1.5,2018-11-21 19:36:02.13699
17,Jose Quinonez,8,2,0,0,"5' 8""",135 lbs.,"69""",,"Jul 28, 1990",3.26,44%,2.32,68%,2.88,50%,57%,1.0,2018-11-21 19:36:05.326466
18,Michel Quinones,8,3,0,0,"5' 10""",155 lbs.,"73""",Orthodox,"Dec 22, 1984",2.91,29%,5.98,48%,0.00,0%,36%,0.0,2018-11-21 19:36:09.492357
19,Ryan Quinn,13,7,1,0,"5' 8""",145 lbs.,N/A,,N/A,2.31,41%,1.67,48%,0.00,0%,0%,1.9,2018-11-21 19:36:13.360001
20,Jimmy Quinlan,3,1,1,0,"6' 0""",185 lbs.,"72""",Orthodox,"May 25, 1986",2.08,70%,5.94,16%,4.46,25%,0%,0.0,2018-11-21 19:36:17.071108
21,Vinicius Queiroz,5,2,0,0,"6' 7""",220 lbs.,N/A,,"Aug 29, 1983",3.67,51%,4.10,41%,5.07,70%,100%,0.7,2018-11-21 19:36:21.198057
22,Nate Quarry,12,4,0,0,"6' 0""",185 lbs.,"72""",Open Stance,"Mar 18, 1972",4.96,44%,2.80,66%,0.25,33%,60%,0.0,2018-11-21 19:36:25.4477
23,Gary Quan,3,5,0,0,"5' 8""",143 lbs.,N/A,,"Apr 11, 1971",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:36:29.480925
24,Bao Quach,18,10,1,0,"5' 3""",145 lbs.,N/A,Orthodox,"Sep 04, 1979",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:36:32.361269
25,Jens Pulver,25,15,1,0,"5' 7""",145 lbs.,"70""",Southpaw,"Dec 06, 1974",2.12,37%,3.13,56%,0.22,33%,63%,0.3,2018-11-21 19:36:35.533749
26,Josh Pulsifer,16,7,0,0,"5' 10""",145 lbs.,N/A,,"Mar 16, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:36:37.828618
27,Hugh Pulley,6,3,0,0,"6' 0""",155 lbs.,N/A,,N/A,4.47,63%,3.27,57%,4.00,66%,69%,0.0,2018-11-21 19:36:40.861514
28,Juan Puig,11,4,0,0,"5' 9""",145 lbs.,"72""",Orthodox,"Apr 23, 1989",4.91,23%,7.17,51%,0.00,0%,0%,0.0,2018-11-21 19:36:44.709232
29,Bubba Pugh,3,3,0,0,"5' 10""",185 lbs.,N/A,,N/A,2.87,67%,2.60,23%,4.00,57%,80%,0.0,2018-11-21 19:36:47.390089
30,Claudio Puelles,9,2,0,0,"5' 11""",155 lbs.,"72""",Southpaw,"Apr 21, 1996",2.33,38%,6.53,49%,2.33,23%,0%,0.8,2018-11-21 19:36:52.163314
31,Lucie Pudilova,8,3,0,0,"5' 8""",135 lbs.,"67""",Orthodox,"Jun 13, 1994",5.53,39%,5.03,53%,0.00,0%,78%,0.5,2018-11-21 19:36:54.111154
32,Daniel Puder,8,0,0,0,"6' 3""",235 lbs.,N/A,Orthodox,"Oct 09, 1981",2.77,68%,1.17,38%,1.21,50%,81%,9.0,2018-11-21 19:36:57.205839
33,Cole Province,6,2,0,1,"5' 9""",145 lbs.,"68""",Orthodox,"Jan 17, 1981",1.47,44%,2.72,43%,2.40,50%,83%,1.0,2018-11-21 19:37:02.056876
34,Joe Proctor,11,5,0,0,"5' 10""",155 lbs.,"72""",Orthodox,"Aug 10, 1985",3.39,36%,3.93,59%,0.00,0%,70%,1.8,2018-11-21 19:37:06.186839
35,Brent Primus,8,0,0,0,"5' 10""",155 lbs.,N/A,,"Apr 12, 1985",1.73,39%,2.27,59%,5.00,38%,0%,2.0,2018-11-21 19:37:08.487691
36,Shane Primm,6,5,0,0,"6' 3""",205 lbs.,N/A,Orthodox,"Jul 30, 1984",0.83,26%,2.25,62%,1.78,20%,0%,0.0,2018-11-21 19:37:12.736339
37,Niko Price,12,2,0,1,"6' 0""",170 lbs.,"76""",Orthodox,"Sep 29, 1989",2.50,29%,4.04,56%,1.44,28%,75%,1.8,2018-11-21 19:37:17.204422
38,Chris Price,18,3,0,0,"6' 2""",185 lbs.,N/A,Southpaw,"Nov 09, 1982",1.44,66%,2.59,48%,0.00,0%,33%,2.2,2018-11-21 19:37:20.854668
39,Dorian Price,8,4,0,0,"6' 3""",170 lbs.,N/A,Southpaw,"Aug 20, 1977",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:37:24.730293
40,Philip Preece,10,14,0,0,"5' 8""",205 lbs.,N/A,Orthodox,N/A,0.80,72%,0.70,63%,0.00,0%,0%,0.0,2018-11-21 19:37:29.056728
41,Michel Prazeres,26,2,0,0,"5' 6""",170 lbs.,"67""",Orthodox,"Jul 25, 1981",2.59,47%,2.32,60%,4.22,38%,47%,0.7,2018-11-21 19:37:33.625521
42,Carlo Prater,30,12,1,0,"5' 11""",155 lbs.,"72""",Switch,"Jun 25, 1981",2.03,47%,4.07,35%,0.43,9%,57%,1.7,2018-11-21 19:37:36.832949
43,Trevor Prangley,23,8,1,0,"6' 1""",185 lbs.,"75""",Orthodox,"Aug 24, 1972",2.59,60%,2.02,48%,3.38,55%,74%,1.0,2018-11-21 19:37:41.588243
44,Wagner Prado,8,2,0,1,"6' 0""",205 lbs.,"74""",Southpaw,"Dec 30, 1986",1.72,40%,3.06,50%,0.00,0%,22%,0.0,2018-11-21 19:37:42.861261
45,Marcin Prachnio,13,4,0,0,"6' 3""",205 lbs.,"74""",Orthodox,"Jul 14, 1988",2.39,39%,2.92,52%,0.00,0%,0%,0.0,2018-11-21 19:37:46.609436
46,Devin Powell,9,4,0,0,"6' 0""",155 lbs.,"73""",Orthodox,"Mar 01, 1988",2.88,41%,3.67,51%,0.00,0%,0%,0.6,2018-11-21 19:37:51.057549
47,Ruan Potts,8,4,0,0,"6' 2""",247 lbs.,"75""",Orthodox,"Feb 23, 1978",0.85,37%,5.92,22%,0.75,16%,33%,2.3,2018-11-21 19:37:54.688247
48,Parker Porter,6,4,0,0,N/A,260 lbs.,N/A,,N/A,8.54,47%,6.37,64%,1.91,100%,0%,1.9,2018-11-21 19:37:58.654495
49,Felipe Portela,7,1,0,0,N/A,170 lbs.,N/A,,"Nov 23, 1987",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:38:03.222915
50,Santiago Ponzinibbio,28,3,0,0,"6' 0""",170 lbs.,"73""",Orthodox,"Sep 26, 1986",4.27,39%,4.02,64%,0.54,44%,60%,0.0,2018-11-21 19:38:07.250064
51,Mike Polchlopek,1,1,0,0,"6' 4""",285 lbs.,N/A,Orthodox,"Dec 27, 1965",2.00,38%,1.33,57%,0.00,0%,0%,0.0,2018-11-21 19:38:10.569577
52,Brandon Polcare,1,1,0,0,N/A,125 lbs.,N/A,,N/A,0.43,50%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:38:14.89737
53,John Polakowski,2,2,0,0,"5' 10""",155 lbs.,N/A,Orthodox,"Jun 21, 1981",0.14,4%,2.05,44%,0.00,0%,75%,2.0,2018-11-21 19:38:19.217275
54,Igor Pokrajac,28,13,0,1,"6' 0""",205 lbs.,"76""",Orthodox,"Jan 02, 1979",2.25,45%,4.26,40%,0.87,29%,51%,0.2,2018-11-21 19:38:22.190684
55,Dustin Poirier,24,5,0,1,"5' 9""",155 lbs.,"72""",Southpaw,"Jan 19, 1989",5.59,49%,3.69,56%,1.75,41%,69%,1.3,2018-11-21 19:38:26.087697
56,Ross Pointon,6,13,0,0,"5' 8""",170 lbs.,N/A,Orthodox,"Feb 18, 1980",2.62,23%,2.77,58%,1.19,100%,0%,0.0,2018-11-21 19:38:29.807354
57,Dmitry Poberezhets,24,5,1,1,"6' 3""",237 lbs.,N/A,,"Jun 11, 1985",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:38:33.546955
58,Maki Pitolo,10,4,0,0,"5' 10""",185 lbs.,"72""",Orthodox,"Nov 24, 1990",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:38:37.816105
59,Liu Pingyuan,12,5,0,0,"5' 6""",135 lbs.,"72""",Orthodox,"Feb 13, 1993",2.13,41%,1.60,51%,1.00,100%,62%,2.0,2018-11-21 19:38:42.215116
60,Jesus Pinedo,16,4,1,0,"5' 10""",155 lbs.,N/A,,"Jun 22, 1996",4.00,42%,3.87,58%,5.00,100%,100%,0.0,2018-11-21 19:38:46.438664
61,Daniel Pineda,18,11,0,0,"5' 7""",145 lbs.,"69""",Orthodox,"Aug 06, 1985",2.99,43%,2.51,47%,1.46,25%,48%,2.0,2018-11-21 19:38:50.827073
62,Dom Pilarte,8,1,0,0,"6' 0""",135 lbs.,"74""",Southpaw,"Jan 05, 1990",4.95,50%,7.86,41%,2.18,50%,0%,2.2,2018-11-21 19:38:54.232879
63,Sean Pierson,14,6,0,0,"6' 0""",170 lbs.,"76""",Southpaw,"Mar 10, 1976",3.84,39%,3.73,64%,0.39,18%,66%,0.4,2018-11-21 19:38:58.73772
64,Joao Pierini,4,1,0,0,"6' 1""",155 lbs.,N/A,Switch,"Dec 11, 1971",0.76,14%,4.56,33%,0.00,0%,0%,0.0,2018-11-21 19:39:02.476453
65,Mike Pierce,17,7,0,0,"5' 8""",170 lbs.,"70""",Orthodox,"Sep 01, 1980",2.62,42%,2.36,62%,3.08,42%,71%,0.2,2018-11-21 19:39:05.879528
66,Nick Piedmont,12,7,1,0,"5' 10""",145 lbs.,N/A,,N/A,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2018-11-21 19:39:08.887023
